LLLL: abandon
L▲■L: holiday
L▲■R: hollow
L▲■x: home
L▲■←: honey
L▲■↑: hood
L▲■→: hope
L▲■↓: horn
L▲■■: horror
L▲■▲: horse
L▲■●: hospital
L▲▲L: host
L▲▲R: hotel
L▲▲x: hour
L▲▲←: hover
L▲▲↑: hub
L▲▲→: huge
L▲▲↓: human
L▲▲■: humble
L▲▲▲: humor
L▲▲●: hundred
L▲●L: hungry
L▲●R: hunt
L▲●x: hurdle
L▲●←: hurry
L▲●↑: hurt
L▲●→: husband
L▲●↓: hybrid
L▲●■: ice
L▲●▲: icon
L▲●●: idea
L●LL: identify
L●LR: idle
L●Lx: ignore
L●L←: ill
L●L↑: illegal
L●L→: illness
L●L↓: image
L●L■: imitate
L●L▲: immense
L●L●: immune
L●RL: impact
L●RR: impose
L●Rx: improve
L●R←: impulse
L●R↑: inch
L●R→: include
L●R↓: income
L●R■: increase
L●R▲: index
L●R●: indicate
L●xL: indoor
L●xR: industry
L●xx: infant
L●x←: inflict
L●x↑: inform
L●x→: inhale
L●x↓: inherit
L●x■: initial
L●x▲: inject
L●x●: injury
L●←L: inmate
L●←R: inner
L●←x: innocent
L●←←: input
L●←↑: inquiry
L●←→: insane
L●←↓: insect
L●←■: inside
L●←▲: inspire
L●←●: install
L●↑L: intact
L●↑R: interest
L●↑x: into
L●↑←: invest
L●↑↑: invite
L●↑→: involve
L●↑↓: iron
L●↑■: island
L●↑▲: isolate
L●↑●: issue
L●→L: item
L●→R: ivory
L●→x: jacket
L●→←: jaguar
L●→↑: jar
L●→→: jazz
L●→↓: jealous
L●→■: jeans
L●→▲: jelly
L●→●: jewel
L●↓L: job
L●↓R: join
L●↓x: joke
L●↓←: journey
L●↓↑: joy
L●↓→: judge
L●↓↓: juice
L●↓■: jump
L●↓▲: jungle
L●↓●: junior
L●■L: junk
L●■R: just
L●■x: kangaroo
L●■←: keen
L●■↑: keep
L●■→: ketchup
L●■↓: key
L●■■: kick
L●■▲: kid
L●■●: kidney
L●▲L: kind
L●▲R: kingdom
L●▲x: kiss
L●▲←: kit
L●▲↑: kitchen
L●▲→: kite
L●▲↓: kitten
L●▲■: kiwi
L●▲▲: knee
L●▲●: knife
L●●L: knock
L●●R: know
L●●x: lab
L●●←: label
L●●↑: labor
L●●→: ladder
L●●↓: lady
L●●■: lake
L●●▲: lamp
L●●●: language
RLLL: laptop
RLLR: large
RLLx: later
RLL←: latin
RLL↑: laugh
RLL→: laundry
RLL↓: lava
RLL■: law
RLL▲: lawn
RLL●: lawsuit
RLRL: layer
RLRR: lazy
RLRx: leader
RLR←: leaf
RLR↑: learn
RLR→: leave
RLR↓: lecture
RLR■: left
RLR▲: leg
RLR●: legal
RLxL: legend
RLxR: leisure
RLxx: lemon
RLx←: lend
RLx↑: length
RLx→: lens
RLx↓: leopard
RLx■: lesson
RLx▲: letter
RLx●: level
RL←L: liar
RL←R: liberty
RL←x: library
RL←←: license
RL←↑: life
RL←→: lift
RL←↓: light
RL←■: like
RL←▲: limb
RL←●: limit
RL↑L: link
RL↑R: lion
RL↑x: liquid
RL↑←: list
RL↑↑: little
RL↑→: live
RL↑↓: lizard
RL↑■: load
RL↑▲: loan
RL↑●: lobster
RL→L: local
RL→R: lock
RL→x: logic
RL→←: lonely
RL→↑: long
RL→→: loop
RL→↓: lottery
RL→■: loud
RL→▲: lounge
RL→●: love
RL↓L: loyal
RL↓R: lucky
RL↓x: luggage
RL↓←: lumber
RL↓↑: lunar
RL↓→: lunch
RL↓↓: luxury
RL↓■: lyrics
RL↓▲: machine
RL↓●: mad
RL■L: magic
RL■R: magnet
RL■x: maid
RL■←: mail
RL■↑: main
RL■→: major
RL■↓: make
RL■■: mammal
RL■▲: man
RL■●: manage
RL▲L: mandate
RL▲R: mango
RL▲x: mansion
RL▲←: manual
RL▲↑: maple
RL▲→: marble
RL▲↓: march
RL▲■: margin
RL▲▲: marine
RL▲●: market
RL●L: marriage
RL●R: mask
RL●x: mass
RL●←: master
RL●↑: match
RL●→: material
RL●↓: math
RL●■: matrix
RL●▲: matter
RL●●: maximum
RRLL: maze
RRLR: meadow
RRLx: mean
RRL←: measure
RRL↑: meat
RRL→: mechanic
RRL↓: medal
RRL■: media
RRL▲: melody
RRL●: melt
RRRL: member
RRRR: memory
RRRx: mention
RRR←: menu
RRR↑: mercy
RRR→: merge
RRR↓: merit
RRR■: merry
RRR▲: mesh
RRR●: message
RRxL: metal
RRxR: method
RRxx: middle
RRx←: midnight
RRx↑: milk
RRx→: million
RRx↓: mimic
RRx■: mind
RRx▲: minimum
RRx●: minor
RR←L: minute
RR←R: miracle
RR←x: mirror
RR←←: misery
RR←↑: miss
RR←→: mistake
RR←↓: mix
RR←■: mixed
RR←▲: mixture
RR←●: mobile
RR↑L: model
RR↑R: modify
RR↑x: mom
RR↑←: moment
RR↑↑: monitor
RR↑→: monkey
RR↑↓: monster
RR↑■: month
RR↑▲: moon
RR↑●: moral
RR→L: more
RR→R: morning
RR→x: mosquito
RR→←: mother
RR→↑: motion
RR→→: motor
RR→↓: mountain
RR→■: mouse
RR→▲: move
RR→●: movie
RR↓L: much
RR↓R: muffin
RR↓x: mule
RR↓←: multiply
RR↓↑: muscle
RR↓→: museum
RR↓↓: mushroom
RR↓■: music
RR↓▲: must
RR↓●: mutual
RR■L: myself
RR■R: mystery
RR■x: myth
RR■←: naive
RR■↑: name
RR■→: napkin
RR■↓: narrow
RR■■: nasty
RR■▲: nation
RR■●: nature
RR▲L: near
RR▲R: neck
RR▲x: need
RR▲←: negative
RR▲↑: neglect
RR▲→: neither
RR▲↓: nephew
RR▲■: nerve
RR▲▲: nest
RR▲●: net
RR●L: network
RR●R: neutral
RR●x: never
RR●←: news
RR●↑: next
RR●→: nice
RR●↓: night
RR●■: noble
RR●▲: noise
RR●●: nominee
RxLL: noodle
RxLR: normal
RxLx: north
RxL←: nose
RxL↑: notable
RxL→: note
RxL↓: nothing
RxL■: notice
RxL▲: novel
RxL●: now
RxRL: nuclear
RxRR: number
RxRx: nurse
RxR←: nut
RxR↑: oak
RxR→: obey
RxR↓: object
RxR■: oblige
RxR▲: obscure
RxR●: observe
RxxL: obtain
RxxR: obvious
Rxxx: occur
Rxx←: ocean
Rxx↑: october
Rxx→: odor
Rxx↓: off
Rxx■: offer
Rxx▲: office
Rxx●: often
Rx←L: oil
Rx←R: okay
Rx←x: old
Rx←←: olive
Rx←↑: olympic
Rx←→: omit
Rx←↓: once
Rx←■: one
Rx←▲: onion
Rx←●: online
Rx↑L: only
Rx↑R: open
Rx↑x: opera
Rx↑←: opinion
Rx↑↑: oppose
Rx↑→: option
Rx↑↓: orange
Rx↑■: orbit
Rx↑▲: orchard
Rx↑●: order
Rx→L: ordinary
Rx→R: organ
Rx→x: orient
Rx→←: original
Rx→↑: orphan
Rx→→: ostrich
Rx→↓: other
Rx→■: outdoor
Rx→▲: outer
Rx→●: output
Rx↓L: outside
Rx↓R: oval
Rx↓x: oven
Rx↓←: over
Rx↓↑: own
Rx↓→: owner
Rx↓↓: oxygen
Rx↓■: oyster
Rx↓▲: ozone
Rx↓●: pact
Rx■L: paddle
Rx■R: page
Rx■x: pair
Rx■←: palace
Rx■↑: palm
Rx■→: panda
Rx■↓: panel
Rx■■: panic
Rx■▲: panther
Rx■●: paper
Rx▲L: parade
Rx▲R: parent
Rx▲x: park
Rx▲←: parrot
Rx▲↑: party
Rx▲→: pass
Rx▲↓: patch
Rx▲■: path
Rx▲▲: patient
Rx▲●: patrol
Rx●L: pattern
Rx●R: pause
Rx●x: pave
Rx●←: payment
Rx●↑: peace
Rx●→: peanut
Rx●↓: pear
Rx●■: peasant
Rx●▲: pelican
Rx●●: pen
R←LL: penalty
R←LR: pencil
R←Lx: people
R←L←: pepper
R←L↑: perfect
R←L→: permit
R←L↓: person
R←L■: pet
R←L▲: phone
R←L●: photo
R←RL: phrase
R←RR: physical
R←Rx: piano
R←R←: picnic
R←R↑: picture
R←R→: piece
R←R↓: pig
R←R■: pigeon
